model,cümle_1,cümle_2,benzerlik_skoru
lemmatized_model_3.model,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,0.99923617
lemmatized_model_3.model,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,0.9986037
lemmatized_model_3.model,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,0.99783266
lemmatized_model_3.model,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,0.99923617
lemmatized_model_3.model,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,0.998756
lemmatized_model_3.model,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,Hakime hakaret eden kişi hapis cezası ile cezalandırılır.,0.99837375
lemmatized_model_3.model,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,0.999203
lemmatized_model_3.model,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,0.9976148
lemmatized_model_3.model,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,0.9975902
lemmatized_model_3.model,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,0.999203
lemmatized_model_3.model,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,0.99890965
lemmatized_model_3.model,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,0.9986312
lemmatized_model_3.model,Başkasına ait eşyayı gizlice alan kişi hırsızlık suçu işlemiş olur.,"Zilyetliğinde bulunmayan malı, sahibinin rızası dışında almak suretiyle hırsızlık suçunu işleyen kişi cezalandırılır.",0.9990593
lemmatized_model_3.model,Başkasına ait eşyayı gizlice alan kişi hırsızlık suçu işlemiş olur.,"Azmettiren, asli fail gibi cezalandırılır.",0.9979631
lemmatized_model_3.model,Başkasına ait eşyayı gizlice alan kişi hırsızlık suçu işlemiş olur.,Suç delillerini gizleyen kişi cezalandırılır.,0.9976943
